"rn","reuters","bbc","cbs","breitbart","huff_post","fox","times","date"
"bonuses",0.1,0,0.1,0.2,0.1,0.1,0,2018-01-11 08:31:23
"california",0.1,0.1,0.2,0.1,0,0.1,0,2018-01-11 08:31:23
"deal",0.1,0.1,0.2,0.1,0,0,0,2018-01-11 08:31:23
"five",0,0.2,0.1,0,0.1,0.1,0.2,2018-01-11 08:31:23
"house",0.1,0,0.1,0,0,0,0.1,2018-01-11 08:31:23
"iran",0,0.2,0,0.4,0.2,0,0.2,2018-01-11 08:31:23
"james",0,0,0,0.1,0.2,0.1,0.1,2018-01-11 08:31:23
"new",0.1,0,0,0,0,0,0,2018-01-11 08:31:23
"nuclear",0,0.1,0,0.1,0.2,0,0,2018-01-11 08:31:23
"raise",0.2,0,0.1,0.1,0.3,0,0.1,2018-01-11 08:31:23
"says",0,0.1,0.3,0.2,0.1,0.1,0.1,2018-01-11 08:31:23
"states",0,0.1,0.2,0.1,0.2,0.2,0.2,2018-01-11 08:31:23
"tax",0,0,0,0,0,0,0,2018-01-11 08:31:23
"teacher",0,0.1,0.1,0,0.2,0,0,2018-01-11 08:31:23
"trump",0,0.1,0.1,0.1,0.1,0.2,0.2,2018-01-11 08:31:23
"tweets",0,0,0,0.1,0,0.1,0,2018-01-11 08:31:23
"twitter",0,0,0,0.4,0.1,0.1,0,2018-01-11 08:31:23
"us",0.1,0,0.1,0.1,0.1,0,0,2018-01-11 08:31:23
"video",0.1,0.1,0,0.3,0.1,0.1,0.1,2018-01-11 08:31:23
"walmart",0.1,0.1,0,0.1,0,0,0.1,2018-01-11 08:31:23
"women",0,0,0,0,0.1,0.1,0.1,2018-01-11 08:31:23
